20 CAD = 76.4 BRL, 2023-04-06 10:42:07 AM
100 USD = 525 BRL, 2023-04-06 10:42:15 AM
100 EUR = 108 USD, 2023-04-06 10:42:22 AM
50 GBP = 57 EUR, 2023-04-06 10:42:34 AM
100 BRL = 18 EUR, 2023-04-06 10:42:41 AM
25 USD = 131.25 BRL, 2023-04-06 10:46:20 AM
0 CAD = 0 CAD, 2023-04-10 9:30:20 PM
0 CAD = 0 CAD, 2023-04-10 10:25:43 PM
12 GBP = 20.16 CAD, 2023-04-11 9:09:17 AM
23 USD = 31.51 CAD, 2023-04-13 1:52:26 PM
0 CAD = 0 CAD, 2023-04-13 3:08:15 PM
89 CAD = 89 CAD, 2023-04-13 3:08:21 PM
89 EUR = 131.72 CAD, 2023-04-13 3:08:24 PM
